row,column,celltype
32.0,93.0,3.0
37.0,116.0,11.0
32.0,241.0,11.0
39.0,261.0,4.0
40.0,296.0,1.0
42.0,327.0,1.0
37.0,352.0,15.0
32.0,367.0,12.0
39.0,418.0,4.0
33.0,429.0,4.0
43.0,458.0,4.0
40.0,484.0,4.0
31.0,499.0,4.0
41.0,517.0,4.0
42.0,549.0,4.0
36.0,568.0,4.0
45.0,588.0,4.0
36.0,634.0,4.0
49.0,667.0,4.0
35.0,678.0,4.0
36.0,782.0,4.0
39.0,811.0,4.0
32.0,834.0,4.0
38.0,850.0,4.0
30.0,859.0,4.0
37.0,876.0,4.0
38.0,905.0,4.0
41.0,939.0,4.0
37.0,960.0,4.0
36.0,1040.0,4.0
47.0,1060.0,4.0
33.0,1084.0,4.0
33.0,1104.0,4.0
33.0,1233.0,4.0
39.0,1253.0,4.0
35.0,1401.0,4.0
32.0,1441.0,4.0
31.0,1462.0,4.0
34.0,1475.0,4.0
34.0,1486.0,4.0
40.0,1502.0,4.0
34.0,1539.0,4.0
35.0,1572.0,4.0
40.0,1597.0,4.0
43.0,1657.0,4.0
38.0,1673.0,4.0
44.0,1688.0,4.0
38.0,1707.0,4.0
32.0,1727.0,4.0
37.0,1747.0,4.0
38.0,1783.0,11.0
35.0,1810.0,4.0
45.0,1845.0,4.0
31.0,1859.0,4.0
38.0,1873.0,4.0
32.0,1890.0,4.0
47.0,1919.0,4.0
33.0,2012.0,4.0
38.0,395.0,4.0
49.0,1121.0,4.0
48.0,1961.0,3.0
56.0,1545.0,4.0
54.0,374.0,4.0
52.0,768.0,4.0
55.0,442.0,4.0
53.0,1764.0,11.0
47.0,977.0,4.0
53.0,1097.0,4.0
47.0,1436.0,4.0
56.0,133.0,2.0
48.0,240.0,16.0
49.0,1639.0,4.0
55.0,643.0,4.0
45.0,1892.0,4.0
52.0,831.0,4.0
51.0,2012.0,4.0
59.0,713.0,4.0
50.0,926.0,4.0
56.0,880.0,4.0
58.0,1805.0,4.0
62.0,854.0,4.0
57.0,1323.0,4.0
61.0,422.0,4.0
75.0,1736.0,4.0
54.0,115.0,3.0
71.0,1996.0,4.0
59.0,1585.0,4.0
64.0,561.0,4.0
61.0,912.0,4.0
55.0,1674.0,4.0
68.0,1824.0,4.0
63.0,487.0,4.0
63.0,812.0,4.0
69.0,897.0,4.0
73.0,959.0,4.0
65.0,1038.0,4.0
65.0,1503.0,4.0
68.0,531.0,4.0
74.0,109.0,3.0
71.0,1606.0,15.0
69.0,1785.0,4.0
73.0,260.0,4.0
87.0,1877.0,4.0
66.0,612.0,4.0
67.0,1710.0,4.0
80.0,1896.0,4.0
75.0,1568.0,4.0
72.0,1081.0,4.0
64.0,513.0,4.0
70.0,932.0,4.0
66.0,1852.0,4.0
70.0,1181.0,16.0
75.0,1483.0,4.0
72.0,1641.0,4.0
73.0,1667.0,12.0
69.0,1335.0,4.0
72.0,1350.0,4.0
72.0,1463.0,4.0
74.0,1906.0,4.0
88.0,501.0,4.0
75.0,195.0,1.0
79.0,1861.0,4.0
80.0,1161.0,4.0
70.0,1687.0,12.0
88.0,1699.0,4.0
82.0,358.0,4.0
85.0,786.0,4.0
88.0,1067.0,4.0
76.0,1115.0,4.0
77.0,1516.0,4.0
84.0,643.0,4.0
83.0,1935.0,11.0
84.0,761.0,4.0
81.0,880.0,4.0
78.0,445.0,4.0
82.0,603.0,4.0
86.0,1200.0,4.0
81.0,1264.0,12.0
92.0,1328.0,4.0
85.0,2014.0,4.0
84.0,823.0,4.0
91.0,551.0,4.0
84.0,1141.0,15.0
83.0,478.0,4.0
99.0,403.0,4.0
100.0,1677.0,12.0
85.0,383.0,4.0
92.0,428.0,4.0
94.0,574.0,4.0
85.0,1843.0,4.0
99.0,460.0,4.0
82.0,540.0,4.0
90.0,703.0,4.0
94.0,851.0,4.0
85.0,1724.0,4.0
103.0,1303.0,12.0
91.0,1370.0,15.0
94.0,619.0,4.0
99.0,671.0,4.0
93.0,923.0,4.0
94.0,79.0,3.0
87.0,867.0,4.0
91.0,1008.0,4.0
97.0,1047.0,4.0
105.0,1355.0,4.0
91.0,1655.0,9.0
105.0,1803.0,4.0
90.0,1714.0,4.0
103.0,1917.0,4.0
89.0,521.0,4.0
99.0,1181.0,4.0
98.0,531.0,4.0
101.0,746.0,4.0
101.0,1032.0,4.0
102.0,1460.0,4.0
104.0,897.0,4.0
104.0,328.0,11.0
99.0,1256.0,12.0
98.0,1245.0,12.0
104.0,1599.0,3.0
99.0,1857.0,4.0
106.0,67.0,3.0
109.0,369.0,4.0
111.0,1284.0,15.0
105.0,260.0,4.0
102.0,597.0,4.0
102.0,1842.0,4.0
112.0,819.0,4.0
112.0,872.0,4.0
118.0,479.0,4.0
107.0,2003.0,4.0
107.0,1271.0,15.0
110.0,1770.0,11.0
119.0,508.0,4.0
107.0,941.0,4.0
117.0,1019.0,15.0
113.0,1505.0,4.0
115.0,103.0,2.0
108.0,1731.0,4.0
110.0,719.0,4.0
116.0,914.0,4.0
118.0,1620.0,9.0
121.0,699.0,4.0
125.0,730.0,4.0
118.0,1435.0,4.0
120.0,757.0,4.0
122.0,592.0,4.0
110.0,607.0,4.0
116.0,1217.0,12.0
119.0,85.0,3.0
117.0,539.0,4.0
129.0,1888.0,4.0
129.0,419.0,4.0
116.0,618.0,4.0
126.0,1388.0,12.0
125.0,1738.0,4.0
131.0,1759.0,4.0
124.0,844.0,4.0
125.0,1691.0,4.0
134.0,576.0,4.0
122.0,1172.0,12.0
120.0,554.0,4.0
122.0,1833.0,4.0
124.0,654.0,4.0
121.0,887.0,4.0
120.0,1846.0,4.0
123.0,1858.0,4.0
127.0,1722.0,4.0
137.0,251.0,4.0
127.0,1248.0,12.0
141.0,1816.0,4.0
139.0,1842.0,4.0
125.0,390.0,4.0
136.0,525.0,4.0
130.0,1460.0,4.0
