,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
Background,7662.0,0.0,4481.0,7662.0,468.0,1894.0,708.0,3312.0,1917.0,333.0,5315.0,735.0,3013.0,6885.0,6102.0,106.0,1006.0,4363.0,5132.0,7662.0,1516.0,7662.0,370.0,7662.0,7659.0,6344.0,7662.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7662.0,7662.0,367.0,2934.0,2898.0,1357.0,7615.0,7662.0,3478.0,7650.0,6269.0
Beta catenin,4481.0,4481.0,0.0,4481.0,215.0,953.0,568.0,1688.0,707.0,109.0,2550.0,310.0,1136.0,3715.0,3101.0,77.0,497.0,1861.0,2628.0,4481.0,1511.0,4481.0,167.0,4481.0,4478.0,3458.0,4481.0,1637.0,439.0,3524.0,1209.0,156.0,202.0,4481.0,4481.0,327.0,2690.0,2310.0,805.0,4440.0,4481.0,3062.0,4474.0,3214.0
Ca,7664.0,7662.0,4481.0,0.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
CD11b,468.0,468.0,215.0,468.0,0.0,374.0,27.0,383.0,186.0,57.0,406.0,53.0,358.0,468.0,465.0,35.0,214.0,429.0,396.0,468.0,54.0,468.0,35.0,468.0,468.0,465.0,468.0,160.0,18.0,286.0,41.0,28.0,90.0,468.0,468.0,24.0,124.0,271.0,120.0,468.0,468.0,162.0,466.0,462.0
CD11c,1894.0,1894.0,953.0,1894.0,374.0,0.0,123.0,1481.0,611.0,103.0,1591.0,190.0,1185.0,1877.0,1823.0,71.0,497.0,1580.0,1504.0,1894.0,253.0,1894.0,124.0,1894.0,1894.0,1867.0,1894.0,612.0,88.0,1042.0,225.0,78.0,141.0,1894.0,1894.0,83.0,522.0,790.0,447.0,1892.0,1894.0,729.0,1894.0,1821.0
CD138,709.0,708.0,568.0,709.0,27.0,123.0,0.0,298.0,139.0,47.0,419.0,144.0,200.0,597.0,516.0,10.0,117.0,330.0,452.0,709.0,331.0,709.0,28.0,709.0,709.0,555.0,709.0,253.0,94.0,600.0,195.0,48.0,36.0,709.0,709.0,60.0,448.0,393.0,156.0,707.0,709.0,507.0,709.0,510.0
CD16,3314.0,3312.0,1688.0,3314.0,383.0,1481.0,298.0,0.0,993.0,295.0,2645.0,405.0,1867.0,3251.0,3100.0,54.0,719.0,2689.0,2496.0,3314.0,506.0,3314.0,189.0,3314.0,3314.0,3151.0,3314.0,890.0,180.0,1876.0,497.0,135.0,209.0,3314.0,3314.0,200.0,966.0,1346.0,744.0,3310.0,3314.0,1367.0,3314.0,3094.0
CD20,1919.0,1917.0,707.0,1919.0,186.0,611.0,139.0,993.0,0.0,108.0,1636.0,240.0,1077.0,1914.0,1809.0,28.0,349.0,1388.0,1537.0,1919.0,137.0,1919.0,125.0,1919.0,1919.0,1851.0,1919.0,407.0,62.0,871.0,160.0,61.0,108.0,1919.0,1919.0,75.0,396.0,552.0,350.0,1919.0,1919.0,630.0,1917.0,1835.0
CD209,333.0,333.0,109.0,333.0,57.0,103.0,47.0,295.0,108.0,0.0,300.0,101.0,257.0,333.0,322.0,3.0,90.0,327.0,271.0,333.0,19.0,333.0,20.0,333.0,333.0,324.0,333.0,50.0,12.0,223.0,32.0,19.0,18.0,333.0,333.0,26.0,57.0,177.0,90.0,333.0,333.0,94.0,333.0,332.0
CD3,5317.0,5315.0,2550.0,5317.0,406.0,1591.0,419.0,2645.0,1636.0,300.0,0.0,618.0,2872.0,5314.0,5125.0,88.0,816.0,3594.0,4508.0,5317.0,723.0,5317.0,362.0,5317.0,5317.0,4796.0,5317.0,1298.0,223.0,2803.0,628.0,268.0,279.0,5317.0,5317.0,204.0,1513.0,1755.0,1295.0,5314.0,5317.0,2093.0,5315.0,4937.0
CD31,736.0,735.0,310.0,736.0,53.0,190.0,144.0,405.0,240.0,101.0,618.0,0.0,403.0,730.0,681.0,14.0,162.0,609.0,569.0,736.0,26.0,736.0,48.0,736.0,736.0,652.0,736.0,89.0,21.0,428.0,55.0,33.0,25.0,736.0,736.0,39.0,110.0,202.0,144.0,736.0,736.0,263.0,736.0,721.0
CD4,3014.0,3013.0,1136.0,3014.0,358.0,1185.0,200.0,1867.0,1077.0,257.0,2872.0,403.0,0.0,3014.0,2991.0,68.0,599.0,2379.0,2443.0,3014.0,203.0,3014.0,294.0,3014.0,3014.0,2883.0,3014.0,654.0,81.0,1453.0,267.0,170.0,170.0,3014.0,3014.0,103.0,593.0,996.0,802.0,3014.0,3014.0,959.0,3014.0,2952.0
CD45,6887.0,6885.0,3715.0,6887.0,468.0,1877.0,597.0,3251.0,1914.0,333.0,5314.0,730.0,3014.0,0.0,6042.0,106.0,997.0,4335.0,5098.0,6887.0,1191.0,6887.0,370.0,6887.0,6887.0,6056.0,6887.0,1785.0,347.0,3877.0,1041.0,271.0,351.0,6887.0,6887.0,307.0,2320.0,2441.0,1353.0,6867.0,6887.0,2960.0,6881.0,6074.0
CD45RO,6104.0,6102.0,3101.0,6104.0,465.0,1823.0,516.0,3100.0,1809.0,322.0,5125.0,681.0,2991.0,6042.0,0.0,105.0,968.0,4075.0,4751.0,6104.0,952.0,6104.0,369.0,6104.0,6104.0,5479.0,6104.0,1564.0,324.0,3318.0,840.0,271.0,334.0,6104.0,6104.0,278.0,1882.0,2094.0,1337.0,6097.0,6104.0,2522.0,6101.0,5563.0
CD56,106.0,106.0,77.0,106.0,35.0,71.0,10.0,54.0,28.0,3.0,88.0,14.0,68.0,106.0,105.0,0.0,36.0,82.0,90.0,106.0,13.0,106.0,6.0,106.0,106.0,104.0,106.0,62.0,5.0,67.0,21.0,4.0,7.0,106.0,106.0,6.0,32.0,30.0,18.0,106.0,106.0,42.0,106.0,104.0
CD63,1006.0,1006.0,497.0,1006.0,214.0,497.0,117.0,719.0,349.0,90.0,816.0,162.0,599.0,997.0,968.0,36.0,0.0,903.0,797.0,1006.0,110.0,1006.0,61.0,1006.0,1006.0,966.0,1006.0,254.0,56.0,621.0,113.0,54.0,158.0,1006.0,1006.0,37.0,257.0,433.0,230.0,1006.0,1006.0,390.0,1004.0,988.0
CD68,4365.0,4363.0,1861.0,4365.0,429.0,1580.0,330.0,2689.0,1388.0,327.0,3594.0,609.0,2379.0,4335.0,4075.0,82.0,903.0,0.0,3308.0,4365.0,442.0,4365.0,250.0,4365.0,4365.0,4124.0,4365.0,991.0,164.0,2243.0,459.0,167.0,281.0,4365.0,4365.0,175.0,1024.0,1461.0,869.0,4363.0,4365.0,1521.0,4363.0,4210.0
CD8,5133.0,5132.0,2628.0,5133.0,396.0,1504.0,452.0,2496.0,1537.0,271.0,4508.0,569.0,2443.0,5098.0,4751.0,90.0,797.0,3308.0,0.0,5133.0,836.0,5133.0,281.0,5133.0,5133.0,4594.0,5133.0,1330.0,225.0,2900.0,700.0,251.0,291.0,5133.0,5133.0,217.0,1626.0,1809.0,1223.0,5121.0,5133.0,2147.0,5129.0,4631.0
dsDNA,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,0.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
EGFR,1516.0,1516.0,1511.0,1516.0,54.0,253.0,331.0,506.0,137.0,19.0,723.0,26.0,203.0,1191.0,952.0,13.0,110.0,442.0,836.0,1516.0,0.0,1516.0,34.0,1516.0,1516.0,1150.0,1516.0,785.0,245.0,1475.0,582.0,56.0,61.0,1516.0,1516.0,174.0,1332.0,1175.0,340.0,1501.0,1516.0,1345.0,1515.0,905.0
Fe,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,0.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
FoxP3,370.0,370.0,167.0,370.0,35.0,124.0,28.0,189.0,125.0,20.0,362.0,48.0,294.0,370.0,369.0,6.0,61.0,250.0,281.0,370.0,34.0,370.0,0.0,370.0,370.0,343.0,370.0,58.0,13.0,200.0,41.0,33.0,16.0,370.0,370.0,21.0,118.0,103.0,74.0,370.0,370.0,130.0,370.0,364.0
H3K27me3,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,0.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
H3K9ac,7661.0,7659.0,4478.0,7661.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7661.0,1516.0,7661.0,370.0,7661.0,0.0,6346.0,7661.0,2010.0,460.0,4581.0,1350.0,271.0,353.0,7661.0,7661.0,367.0,2933.0,2896.0,1358.0,7616.0,7661.0,3475.0,7649.0,6271.0
HLA-DR,6346.0,6344.0,3458.0,6346.0,465.0,1867.0,555.0,3151.0,1851.0,324.0,4796.0,652.0,2883.0,6056.0,5479.0,104.0,966.0,4124.0,4594.0,6346.0,1150.0,6346.0,343.0,6346.0,6346.0,0.0,6346.0,1816.0,335.0,3576.0,923.0,253.0,334.0,6346.0,6346.0,273.0,2109.0,2361.0,1248.0,6330.0,6346.0,2755.0,6343.0,5595.0
HLA_Class_1,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,0.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
IDO,2010.0,2010.0,1637.0,2010.0,160.0,612.0,253.0,890.0,407.0,50.0,1298.0,89.0,654.0,1785.0,1564.0,62.0,254.0,991.0,1330.0,2010.0,785.0,2010.0,58.0,2010.0,2010.0,1816.0,2010.0,0.0,212.0,1523.0,403.0,90.0,107.0,2010.0,2010.0,122.0,1075.0,1151.0,433.0,1999.0,2010.0,1265.0,2010.0,1519.0
Keratin17,460.0,460.0,439.0,460.0,18.0,88.0,94.0,180.0,62.0,12.0,223.0,21.0,81.0,347.0,324.0,5.0,56.0,164.0,225.0,460.0,245.0,460.0,13.0,460.0,460.0,335.0,460.0,212.0,0.0,442.0,191.0,16.0,18.0,460.0,460.0,93.0,385.0,318.0,103.0,458.0,460.0,380.0,460.0,296.0
Keratin6,4583.0,4583.0,3524.0,4583.0,286.0,1042.0,600.0,1876.0,871.0,223.0,2803.0,428.0,1453.0,3877.0,3318.0,67.0,621.0,2243.0,2900.0,4583.0,1475.0,4583.0,200.0,4583.0,4581.0,3576.0,4583.0,1523.0,442.0,0.0,1182.0,179.0,213.0,4583.0,4583.0,328.0,2741.0,2497.0,921.0,4548.0,4583.0,2723.0,4577.0,3401.0
Ki67,1350.0,1350.0,1209.0,1350.0,41.0,225.0,195.0,497.0,160.0,32.0,628.0,55.0,267.0,1041.0,840.0,21.0,113.0,459.0,700.0,1350.0,582.0,1350.0,41.0,1350.0,1350.0,923.0,1350.0,403.0,191.0,1182.0,0.0,50.0,54.0,1350.0,1350.0,169.0,953.0,731.0,248.0,1345.0,1350.0,909.0,1348.0,857.0
Lag3,271.0,271.0,156.0,271.0,28.0,78.0,48.0,135.0,61.0,19.0,268.0,33.0,170.0,271.0,271.0,4.0,54.0,167.0,251.0,271.0,56.0,271.0,33.0,271.0,271.0,253.0,271.0,90.0,16.0,179.0,50.0,0.0,16.0,271.0,271.0,14.0,94.0,124.0,179.0,271.0,271.0,115.0,271.0,263.0
MPO,353.0,353.0,202.0,353.0,90.0,141.0,36.0,209.0,108.0,18.0,279.0,25.0,170.0,351.0,334.0,7.0,158.0,281.0,291.0,353.0,61.0,353.0,16.0,353.0,353.0,334.0,353.0,107.0,18.0,213.0,54.0,16.0,0.0,353.0,353.0,13.0,131.0,126.0,71.0,352.0,353.0,136.0,351.0,340.0
Na,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,0.0,7664.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
P,7664.0,7662.0,4481.0,7664.0,468.0,1894.0,709.0,3314.0,1919.0,333.0,5317.0,736.0,3014.0,6887.0,6104.0,106.0,1006.0,4365.0,5133.0,7664.0,1516.0,7664.0,370.0,7664.0,7661.0,6346.0,7664.0,2010.0,460.0,4583.0,1350.0,271.0,353.0,7664.0,0.0,367.0,2934.0,2898.0,1358.0,7617.0,7664.0,3478.0,7652.0,6271.0
p53,367.0,367.0,327.0,367.0,24.0,83.0,60.0,200.0,75.0,26.0,204.0,39.0,103.0,307.0,278.0,6.0,37.0,175.0,217.0,367.0,174.0,367.0,21.0,367.0,367.0,273.0,367.0,122.0,93.0,328.0,169.0,14.0,13.0,367.0,367.0,0.0,266.0,239.0,87.0,367.0,367.0,283.0,367.0,265.0
Pan-Keratin,2934.0,2934.0,2690.0,2934.0,124.0,522.0,448.0,966.0,396.0,57.0,1513.0,110.0,593.0,2320.0,1882.0,32.0,257.0,1024.0,1626.0,2934.0,1332.0,2934.0,118.0,2934.0,2933.0,2109.0,2934.0,1075.0,385.0,2741.0,953.0,94.0,131.0,2934.0,2934.0,266.0,0.0,1780.0,566.0,2900.0,2934.0,2141.0,2928.0,1930.0
