,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,9182.0,18364.0,1187.0,18364.0,214.0,474.0,9825.0,455.0,37.0,64.0,170.0,326.0,130.0,1289.0,9296.0,0.0,17975.0,2516.0,136.0,18364.0,35.0,18364.0,8.0,18364.0,18324.0,3709.0,15601.0,8.0,452.0,11302.0,152.0,0.0,68.0,18364.0,18364.0,347.0,16209.0,45.0,50.0,17072.0,18364.0,1962.0,18364.0,544.0
Background,18364.0,9182.0,1187.0,18364.0,214.0,474.0,9825.0,455.0,37.0,64.0,170.0,326.0,130.0,1289.0,9296.0,0.0,17975.0,2516.0,136.0,18364.0,35.0,18364.0,8.0,18364.0,18324.0,3709.0,15601.0,8.0,452.0,11302.0,152.0,0.0,68.0,18364.0,18364.0,347.0,16209.0,45.0,50.0,17072.0,18364.0,1962.0,18364.0,544.0
Beta catenin,1187.0,1187.0,44.0,1187.0,14.0,35.0,722.0,33.0,4.0,6.0,13.0,23.0,10.0,95.0,685.0,0.0,1168.0,157.0,10.0,1187.0,2.0,1187.0,0.0,1187.0,1185.0,242.0,1014.0,0.0,43.0,733.0,12.0,0.0,4.0,1187.0,1187.0,29.0,1046.0,4.0,4.0,1118.0,1187.0,147.0,1187.0,29.0
Ca,18364.0,18364.0,1187.0,9182.0,214.0,474.0,9825.0,455.0,37.0,64.0,170.0,326.0,130.0,1289.0,9296.0,0.0,17975.0,2516.0,136.0,18364.0,35.0,18364.0,8.0,18364.0,18324.0,3709.0,15601.0,8.0,452.0,11302.0,152.0,0.0,68.0,18364.0,18364.0,347.0,16209.0,45.0,50.0,17072.0,18364.0,1962.0,18364.0,544.0
CD11b,214.0,214.0,14.0,214.0,3.0,4.0,118.0,8.0,1.0,2.0,4.0,3.0,2.0,22.0,114.0,0.0,208.0,29.0,3.0,214.0,0.0,214.0,0.0,214.0,214.0,47.0,188.0,0.0,12.0,130.0,5.0,0.0,2.0,214.0,214.0,5.0,191.0,0.0,0.0,204.0,214.0,32.0,214.0,5.0
CD11c,474.0,474.0,35.0,474.0,4.0,11.0,294.0,21.0,0.0,1.0,4.0,8.0,2.0,30.0,260.0,0.0,466.0,63.0,6.0,474.0,0.0,474.0,0.0,474.0,474.0,96.0,409.0,0.0,18.0,322.0,10.0,0.0,3.0,474.0,474.0,11.0,423.0,3.0,2.0,446.0,474.0,60.0,474.0,20.0
CD138,9825.0,9825.0,722.0,9825.0,118.0,294.0,3121.0,261.0,23.0,26.0,101.0,204.0,82.0,746.0,5701.0,0.0,9696.0,1310.0,68.0,9825.0,20.0,9825.0,4.0,9825.0,9803.0,1947.0,8500.0,4.0,275.0,6361.0,107.0,0.0,41.0,9825.0,9825.0,221.0,8826.0,20.0,33.0,9277.0,9825.0,1045.0,9825.0,297.0
CD16,455.0,455.0,33.0,455.0,8.0,21.0,261.0,7.0,0.0,3.0,4.0,6.0,3.0,39.0,256.0,0.0,447.0,76.0,8.0,455.0,2.0,455.0,0.0,455.0,454.0,106.0,403.0,0.0,18.0,274.0,4.0,0.0,3.0,455.0,455.0,8.0,400.0,2.0,2.0,432.0,455.0,57.0,455.0,13.0
CD20,37.0,37.0,4.0,37.0,1.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,21.0,0.0,37.0,4.0,0.0,37.0,0.0,37.0,0.0,37.0,37.0,3.0,31.0,0.0,2.0,24.0,1.0,0.0,0.0,37.0,37.0,1.0,37.0,0.0,0.0,34.0,37.0,7.0,37.0,1.0
CD209,64.0,64.0,6.0,64.0,2.0,1.0,26.0,3.0,0.0,1.0,1.0,1.0,1.0,11.0,36.0,0.0,62.0,18.0,5.0,64.0,0.0,64.0,0.0,64.0,64.0,24.0,57.0,0.0,6.0,39.0,1.0,0.0,3.0,64.0,64.0,2.0,57.0,0.0,0.0,59.0,64.0,19.0,64.0,6.0
CD3,170.0,170.0,13.0,170.0,4.0,4.0,101.0,4.0,1.0,1.0,2.0,1.0,2.0,14.0,92.0,0.0,165.0,23.0,3.0,170.0,0.0,170.0,0.0,170.0,170.0,44.0,148.0,0.0,6.0,117.0,5.0,0.0,0.0,170.0,170.0,8.0,153.0,0.0,0.0,163.0,170.0,29.0,170.0,4.0
CD31,326.0,326.0,23.0,326.0,3.0,8.0,204.0,6.0,0.0,1.0,1.0,5.0,2.0,19.0,193.0,0.0,315.0,39.0,1.0,326.0,0.0,326.0,0.0,326.0,324.0,57.0,285.0,0.0,17.0,209.0,7.0,0.0,0.0,326.0,326.0,11.0,293.0,1.0,1.0,306.0,326.0,40.0,326.0,8.0
CD4,130.0,130.0,10.0,130.0,2.0,2.0,82.0,3.0,1.0,1.0,2.0,2.0,0.0,12.0,75.0,0.0,128.0,19.0,4.0,130.0,0.0,130.0,0.0,130.0,129.0,37.0,115.0,0.0,7.0,96.0,5.0,0.0,2.0,130.0,130.0,7.0,120.0,0.0,0.0,124.0,130.0,16.0,130.0,5.0
CD45,1289.0,1289.0,95.0,1289.0,22.0,30.0,746.0,39.0,4.0,11.0,14.0,19.0,12.0,46.0,697.0,0.0,1257.0,209.0,15.0,1289.0,2.0,1289.0,0.0,1289.0,1286.0,316.0,1112.0,0.0,37.0,814.0,16.0,0.0,2.0,1289.0,1289.0,24.0,1143.0,0.0,2.0,1220.0,1289.0,176.0,1289.0,35.0
CD45RO,9296.0,9296.0,685.0,9296.0,114.0,260.0,5701.0,256.0,21.0,36.0,92.0,193.0,75.0,697.0,2628.0,0.0,9150.0,1307.0,66.0,9296.0,16.0,9296.0,3.0,9296.0,9275.0,1950.0,8083.0,3.0,277.0,6007.0,107.0,0.0,37.0,9296.0,9296.0,213.0,8293.0,26.0,32.0,8757.0,9296.0,1124.0,9296.0,321.0
CD56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,17975.0,17975.0,1168.0,17975.0,208.0,466.0,9696.0,447.0,37.0,62.0,165.0,315.0,128.0,1257.0,9150.0,0.0,8809.0,2449.0,131.0,17975.0,35.0,17975.0,8.0,17975.0,17936.0,3621.0,15278.0,8.0,447.0,11097.0,149.0,0.0,68.0,17975.0,17975.0,342.0,15895.0,44.0,48.0,16724.0,17975.0,1897.0,17975.0,528.0
CD68,2516.0,2516.0,157.0,2516.0,29.0,63.0,1310.0,76.0,4.0,18.0,23.0,39.0,19.0,209.0,1307.0,0.0,2449.0,194.0,24.0,2516.0,6.0,2516.0,0.0,2516.0,2510.0,558.0,2179.0,0.0,64.0,1540.0,16.0,0.0,9.0,2516.0,2516.0,53.0,2192.0,5.0,7.0,2369.0,2516.0,328.0,2516.0,87.0
CD8,136.0,136.0,10.0,136.0,3.0,6.0,68.0,8.0,0.0,5.0,3.0,1.0,4.0,15.0,66.0,0.0,131.0,24.0,1.0,136.0,0.0,136.0,0.0,136.0,136.0,35.0,119.0,0.0,6.0,82.0,2.0,0.0,1.0,136.0,136.0,7.0,118.0,1.0,1.0,129.0,136.0,31.0,136.0,8.0
dsDNA,18364.0,18364.0,1187.0,18364.0,214.0,474.0,9825.0,455.0,37.0,64.0,170.0,326.0,130.0,1289.0,9296.0,0.0,17975.0,2516.0,136.0,9182.0,35.0,18364.0,8.0,18364.0,18324.0,3709.0,15601.0,8.0,452.0,11302.0,152.0,0.0,68.0,18364.0,18364.0,347.0,16209.0,45.0,50.0,17072.0,18364.0,1962.0,18364.0,544.0
EGFR,35.0,35.0,2.0,35.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,35.0,6.0,0.0,35.0,0.0,35.0,0.0,35.0,35.0,8.0,28.0,0.0,3.0,21.0,1.0,0.0,0.0,35.0,35.0,2.0,32.0,0.0,0.0,34.0,35.0,5.0,35.0,0.0
