,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,9056.0,18112.0,11619.0,18112.0,122.0,581.0,47.0,13647.0,111.0,5009.0,3203.0,1413.0,1523.0,13887.0,9346.0,161.0,1083.0,9558.0,4749.0,18112.0,15081.0,18112.0,0.0,13807.0,17391.0,8010.0,18112.0,331.0,54.0,7617.0,1114.0,107.0,185.0,18112.0,18112.0,260.0,4994.0,11510.0,317.0,4497.0,18112.0,1182.0,18112.0,16655.0
Background,18112.0,9056.0,11619.0,18112.0,122.0,581.0,47.0,13647.0,111.0,5009.0,3203.0,1413.0,1523.0,13887.0,9346.0,161.0,1083.0,9558.0,4749.0,18112.0,15081.0,18112.0,0.0,13807.0,17391.0,8010.0,18112.0,331.0,54.0,7617.0,1114.0,107.0,185.0,18112.0,18112.0,260.0,4994.0,11510.0,317.0,4497.0,18112.0,1182.0,18112.0,16655.0
Beta catenin,11619.0,11619.0,3909.0,11619.0,82.0,411.0,32.0,8757.0,85.0,3257.0,2152.0,898.0,1048.0,8915.0,6106.0,101.0,782.0,6165.0,3100.0,11619.0,9826.0,11619.0,0.0,8998.0,11180.0,5259.0,11619.0,238.0,30.0,5037.0,788.0,78.0,114.0,11619.0,11619.0,173.0,3358.0,7729.0,231.0,3040.0,11619.0,781.0,11619.0,10776.0
Ca,18112.0,18112.0,11619.0,9056.0,122.0,581.0,47.0,13647.0,111.0,5009.0,3203.0,1413.0,1523.0,13887.0,9346.0,161.0,1083.0,9558.0,4749.0,18112.0,15081.0,18112.0,0.0,13807.0,17391.0,8010.0,18112.0,331.0,54.0,7617.0,1114.0,107.0,185.0,18112.0,18112.0,260.0,4994.0,11510.0,317.0,4497.0,18112.0,1182.0,18112.0,16655.0
CD11b,122.0,122.0,82.0,122.0,1.0,5.0,1.0,99.0,1.0,36.0,23.0,7.0,9.0,93.0,66.0,1.0,11.0,69.0,30.0,122.0,105.0,122.0,0.0,93.0,120.0,59.0,122.0,4.0,0.0,56.0,9.0,0.0,1.0,122.0,122.0,2.0,40.0,84.0,1.0,32.0,122.0,9.0,122.0,116.0
CD11c,581.0,581.0,411.0,581.0,5.0,12.0,1.0,423.0,2.0,161.0,100.0,51.0,57.0,429.0,291.0,3.0,43.0,307.0,161.0,581.0,492.0,581.0,0.0,454.0,567.0,245.0,581.0,12.0,2.0,256.0,37.0,2.0,3.0,581.0,581.0,10.0,166.0,393.0,12.0,140.0,581.0,48.0,581.0,532.0
CD138,47.0,47.0,32.0,47.0,1.0,1.0,0.0,35.0,0.0,13.0,9.0,5.0,4.0,35.0,24.0,0.0,6.0,25.0,13.0,47.0,35.0,47.0,0.0,40.0,47.0,24.0,47.0,0.0,0.0,19.0,2.0,1.0,1.0,47.0,47.0,1.0,14.0,30.0,2.0,12.0,47.0,9.0,47.0,47.0
CD16,13647.0,13647.0,8757.0,13647.0,99.0,423.0,35.0,5136.0,78.0,3750.0,2430.0,1088.0,1165.0,10475.0,7044.0,119.0,792.0,7222.0,3578.0,13647.0,11332.0,13647.0,0.0,10392.0,13110.0,6051.0,13647.0,252.0,43.0,5701.0,819.0,73.0,156.0,13647.0,13647.0,203.0,3770.0,8663.0,236.0,3348.0,13647.0,895.0,13647.0,12539.0
CD20,111.0,111.0,85.0,111.0,1.0,2.0,0.0,78.0,0.0,16.0,24.0,13.0,10.0,80.0,53.0,1.0,9.0,57.0,29.0,111.0,88.0,111.0,0.0,90.0,108.0,44.0,111.0,0.0,0.0,41.0,7.0,0.0,1.0,111.0,111.0,2.0,28.0,76.0,1.0,26.0,111.0,16.0,111.0,104.0
CD209,5009.0,5009.0,3257.0,5009.0,36.0,161.0,13.0,3750.0,16.0,716.0,906.0,388.0,453.0,3877.0,2636.0,42.0,284.0,2654.0,1371.0,5009.0,4180.0,5009.0,0.0,3864.0,4832.0,2249.0,5009.0,85.0,19.0,2081.0,303.0,21.0,56.0,5009.0,5009.0,73.0,1422.0,3216.0,91.0,1234.0,5009.0,316.0,5009.0,4610.0
CD3,3203.0,3203.0,2152.0,3203.0,23.0,100.0,9.0,2430.0,24.0,906.0,315.0,234.0,315.0,2512.0,1682.0,28.0,194.0,1756.0,868.0,3203.0,2684.0,3203.0,0.0,2468.0,3083.0,1467.0,3203.0,56.0,12.0,1368.0,204.0,26.0,41.0,3203.0,3203.0,47.0,914.0,2101.0,64.0,811.0,3203.0,222.0,3203.0,2967.0
CD31,1413.0,1413.0,898.0,1413.0,7.0,51.0,5.0,1088.0,13.0,388.0,234.0,59.0,124.0,1076.0,734.0,13.0,90.0,755.0,346.0,1413.0,1168.0,1413.0,0.0,1109.0,1367.0,639.0,1413.0,27.0,3.0,566.0,99.0,6.0,15.0,1413.0,1413.0,23.0,409.0,879.0,21.0,372.0,1413.0,94.0,1413.0,1315.0
CD4,1523.0,1523.0,1048.0,1523.0,9.0,57.0,4.0,1165.0,10.0,453.0,315.0,124.0,89.0,1195.0,818.0,14.0,107.0,837.0,436.0,1523.0,1288.0,1523.0,0.0,1198.0,1471.0,697.0,1523.0,30.0,6.0,638.0,99.0,17.0,16.0,1523.0,1523.0,25.0,436.0,1025.0,31.0,406.0,1523.0,114.0,1523.0,1421.0
CD45,13887.0,13887.0,8915.0,13887.0,93.0,429.0,35.0,10475.0,80.0,3877.0,2512.0,1076.0,1195.0,5340.0,7219.0,113.0,793.0,7362.0,3659.0,13887.0,11550.0,13887.0,0.0,10613.0,13347.0,6181.0,13887.0,247.0,46.0,5817.0,830.0,77.0,152.0,13887.0,13887.0,205.0,3822.0,8848.0,245.0,3432.0,13887.0,905.0,13887.0,12776.0
CD45RO,9346.0,9346.0,6106.0,9346.0,66.0,291.0,24.0,7044.0,53.0,2636.0,1682.0,734.0,818.0,7219.0,2458.0,76.0,548.0,4994.0,2495.0,9346.0,7784.0,9346.0,0.0,7202.0,9020.0,4193.0,9346.0,161.0,36.0,3970.0,574.0,63.0,109.0,9346.0,9346.0,146.0,2620.0,6011.0,152.0,2366.0,9346.0,625.0,9346.0,8623.0
CD56,161.0,161.0,101.0,161.0,1.0,3.0,0.0,119.0,1.0,42.0,28.0,13.0,14.0,113.0,76.0,3.0,11.0,88.0,44.0,161.0,132.0,161.0,0.0,119.0,154.0,71.0,161.0,1.0,1.0,58.0,6.0,1.0,1.0,161.0,161.0,0.0,39.0,102.0,3.0,38.0,161.0,12.0,161.0,143.0
CD63,1083.0,1083.0,782.0,1083.0,11.0,43.0,6.0,792.0,9.0,284.0,194.0,90.0,107.0,793.0,548.0,11.0,33.0,559.0,265.0,1083.0,914.0,1083.0,0.0,856.0,1045.0,481.0,1083.0,23.0,6.0,487.0,74.0,8.0,16.0,1083.0,1083.0,9.0,333.0,749.0,21.0,284.0,1083.0,92.0,1083.0,1012.0
CD68,9558.0,9558.0,6165.0,9558.0,69.0,307.0,25.0,7222.0,57.0,2654.0,1756.0,755.0,837.0,7362.0,4994.0,88.0,559.0,2542.0,2556.0,9558.0,7954.0,9558.0,0.0,7347.0,9200.0,4275.0,9558.0,174.0,40.0,3999.0,557.0,56.0,107.0,9558.0,9558.0,146.0,2639.0,6134.0,180.0,2396.0,9558.0,629.0,9558.0,8792.0
CD8,4749.0,4749.0,3100.0,4749.0,30.0,161.0,13.0,3578.0,29.0,1371.0,868.0,346.0,436.0,3659.0,2495.0,44.0,265.0,2556.0,639.0,4749.0,3963.0,4749.0,0.0,3663.0,4595.0,2152.0,4749.0,74.0,16.0,2029.0,295.0,32.0,52.0,4749.0,4749.0,66.0,1314.0,3049.0,81.0,1186.0,4749.0,310.0,4749.0,4382.0
dsDNA,18112.0,18112.0,11619.0,18112.0,122.0,581.0,47.0,13647.0,111.0,5009.0,3203.0,1413.0,1523.0,13887.0,9346.0,161.0,1083.0,9558.0,4749.0,9056.0,15081.0,18112.0,0.0,13807.0,17391.0,8010.0,18112.0,331.0,54.0,7617.0,1114.0,107.0,185.0,18112.0,18112.0,260.0,4994.0,11510.0,317.0,4497.0,18112.0,1182.0,18112.0,16655.0
EGFR,15081.0,15081.0,9826.0,15081.0,105.0,492.0,35.0,11332.0,88.0,4180.0,2684.0,1168.0,1288.0,11550.0,7784.0,132.0,914.0,7954.0,3963.0,15081.0,6309.0,15081.0,0.0,11520.0,14487.0,6686.0,15081.0,290.0,43.0,6441.0,951.0,94.0,151.0,15081.0,15081.0,224.0,4244.0,9721.0,277.0,3768.0,15081.0,994.0,15081.0,13873.0
